track_id,track_name,album_id,artist_ids,artist_names,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo
4cNhx6OO1XpvwT6xZnb83B,Southern Hospitality (Featuring Pharrell),2kT80DHqRtHQzDhQ2RCoIV,"['3ipn9JLAPI5GUEo4y4jcoi', '2RdwBSPQiwcmiDo9kixcl8']","['Ludacris', 'Pharrell Williams']",0.613,2000,0.035,0.623,300933,0.8959999999999999,1,0.0,0,0.0941,-4.718999999999999,1,53,2000-01-01,0.247,95.158
1HCKcrifeQmtEXwEqfXcjD,Lo Unico Que Quiero,6Cc1JTOGWY55Fz5EVuadDy,"['4VYSLPSI9yb8qkUpKyVQSJ', '2zF0KCQEt1O4Z9fWVUVi4T']","['Marco Barrientos', 'Marcela Gandara']",0.139,2000,0.647,0.336,447492,0.521,0,0.0,6,0.7090000000000001,-7.182,1,62,2000,0.0353,134.82399999999998
2DHgvPQD1jApRnT1DBZdrS,High Speed,6ZG5lRT77aJ3btmArcykra,['4gzpq5DPGxSnKTe4SA8HAU'],['Coldplay'],0.249,2000,0.396,0.495,256467,0.525,0,0.0073599999999999,7,0.0961,-9.342,0,63,2000-07-10,0.0301,154.466
19CmuECYssqkPWANF4nLWM,Para No Verte Más,4vIw5XspQuPt04VHX5oK5W,['60nua3AsVSfADZtg5Hdz3W'],['La Mosca Tse-Tse'],0.8370000000000001,2000,0.0168,0.6579999999999999,191560,0.815,0,0.0,0,0.341,-6.834,1,69,2000,0.105,99.276
5TB6QgrF0RPIxSCGfRDLoe,We Never Change,6ZG5lRT77aJ3btmArcykra,['4gzpq5DPGxSnKTe4SA8HAU'],['Coldplay'],0.131,2000,0.535,0.433,249400,0.288,0,0.000169,6,0.105,-10.800999999999998,0,61,2000-07-10,0.0296,136.939
3xjTuTBaihydhSC7ByNoSb,Stuck In A Moment You Can't Get Out Of,7gskILm9UyDvFlmmAoqn2g,['51Blml2LZPmy7TTiAg47vQ'],['U2'],0.324,2000,0.391,0.524,271800,0.644,0,0.000246,4,0.168,-4.9860000000000015,1,53,2000-01-01,0.0238,158.52
1lg8iruuIfdRL20TMmHRzJ,One Armed Scissor,0x6Y2eA8Boakdrq9x2agdF,['5E2rtn57BM2WPjwak4kGd5'],['At the Drive-In'],0.229,2000,0.0511,0.251,260306,0.932,0,3.2899999999999987e-05,4,0.642,-4.167,0,53,2000,0.159,165.253
5NQdweL8O7nGdM7e4IS1lf,It's So Hard (feat. Donell Jones) (feat. Donnell Jones),4Q6aT8fIVaYFsJc7C6OrAv,"['2Xu7q46Hf02xOoEIm4E1Qs', '28bGoPggBA6WBIz5iPqD7d']","['Big Pun', 'Donnell Jones']",0.633,2000,0.0554,0.9,172933,0.593,1,0.0,10,0.0304,-6.629,0,53,2000-03-01,0.333,92.946
4d8Bqtm7ODdQLFXxPSuK64,Let The Music Play,4cj641XM0e3LcGSTWr2oEV,['2O8QAJmRrwkFXq2aWZnHYB'],['Shannon'],0.901,2000,0.0038,0.765,216000,0.872,0,0.482,10,0.275,-6.992999999999999,0,55,2000-12-01,0.119,118.074
1ZxwWrMNukjS8sb9TZ0HjU,God in Me (feat. Kierra Sheard),20bME4IGNpUBm1Rk3TzuP9,"['12Kgt2eahvxNWhD5PnSUde', '4x3CdMQ3YjnPn4Evhyni5y']","['Mary Mary', 'Kierra Sheard']",0.428,2000,0.0336,0.6729999999999999,192680,0.6729999999999999,0,0.0,5,0.214,-5.824,0,52,2000,0.0948,176.088
